"dept_id","dept_code","dept_name","is_active","parent_dept_code","is_production","remarks"
"9999","PTY","Party Related Activity (Approvals) ",True,NULL,False,"Department for Party Users"
"1001","MGT","Top Management",True,NULL,False,"Owners, Directors"
"1002","ADM","Administration",True,"MGT",False,"Admin & legal"
"1003","HR","Human Resource",True,"ADM",False,"HR & payroll"
"1004","FIN","Accounts & Finance",True,"ADM",False,"Accounts & taxation"
"1005","IT","IT & ERP Support",True,"ADM",False,"ERP & systems"
"1006","SAL","Sales & Marketing",True,NULL,False,"Sales & marketing"
"1007","CST","Customer Service & CRM",True,"SAL",False,"Client handling"
"1008","EST","Estimation & Costing",True,"SAL",False,"Quotation & costing"
"1009","PRE","Pre-Press & Design",True,NULL,True,"Design to plate making"
"1010","PRT","Printing",True,NULL,True,"All printing types"
"1011","FINP","Post-Press & Finishing",True,NULL,True,"Cutting to final finish"
"1012","PKG","Packaging",True,NULL,True,"Packing"
"1013","DSP","Dispatch & Logistics",True,"PKG",True,"Delivery & transport"
"1014","INV","Inventory & Stores",True,NULL,False,"All stores"
"1015","PUR","Purchase",True,"INV",False,"Procurement"
"1016","QMS","Quality Management",True,NULL,True,"Quality & inspection"
"1017","MNT","Maintenance & Utilities",True,NULL,True,"All maintenance"
"1018","SEC","Security & Gatepass",True,NULL,False,"Security operations"
