"jobtypeid","jobtypecode","jobtypename","description","isdesignrequired","isdtprequired","isctprequired","isprintingrequired","isbindingrequired","isfinishingrequired","printingmode","issingleprocess","isfullprocess","iscustomermaterial","isinhousematerial","isoutsourcejob","allowadvancepayment","requirecostingapproval","defaultstartprocesscode","defaultendprocesscode","isactive","createdat"
1001,"FULL_OFFSET","Full Job – Offset Printing","Complete job from design to dispatch (Offset)",True,True,True,True,True,True,"OFFSET",False,True,False,True,False,True,True,"ENQUIRY","DISPATCH",True,"2026-03-11 23:18:17.482513"
1002,"FULL_DIGITAL","Full Job – Digital Printing","Complete job using digital printing",True,True,False,True,True,True,"DIGITAL",False,True,False,True,False,True,True,"ENQUIRY","DISPATCH",True,"2026-03-11 23:18:17.482513"
1003,"FULL_SCREEN","Full Job – Screen Printing","Complete screen printing job",True,True,False,True,True,True,"SCREEN",False,True,False,True,False,True,True,"ENQUIRY","DISPATCH",True,"2026-03-11 23:18:17.482513"
1004,"FULL_FLEX","Full Job – Flex Printing","Complete flex printing job",True,True,False,True,True,True,"FLEX",False,True,False,True,False,True,True,"ENQUIRY","DISPATCH",True,"2026-03-11 23:18:17.482513"
1005,"FULL_UV","Full Job – UV Printing","Complete UV printing job",True,True,False,True,True,True,"UV",False,True,False,True,False,True,True,"ENQUIRY","DISPATCH",True,"2026-03-11 23:18:17.482513"
1006,"DESIGN_ONLY","Design Only","Creative design service only",True,False,False,False,False,False,NULL,True,False,True,False,False,True,False,"DESIGN","DESIGN",True,"2026-03-11 23:18:17.482513"
1007,"DTP_ONLY","DTP / Layout Only","DTP and layout work",False,True,False,False,False,False,NULL,True,False,True,False,False,True,False,"DTP","DTP",True,"2026-03-11 23:18:17.482513"
1008,"CTP_ONLY","Prepress / Plate Making (CTP)","CTP plate making service",False,False,True,False,False,False,"OFFSET",True,False,False,True,False,True,False,"PREPRESS","PREPRESS",True,"2026-03-11 23:18:17.482513"
1009,"PROOF_ONLY","Proofing Only","Sample proof printing",False,False,False,True,False,False,"MULTI",True,False,True,True,False,True,False,"PRINTING","PRINTING",True,"2026-03-11 23:18:17.482513"
1010,"PRINT_OFFSET","Printing Only – Offset","Offset printing service only",False,False,False,True,False,False,"OFFSET",True,False,True,True,False,True,False,"PRINTING","PRINTING",True,"2026-03-11 23:18:17.482513"
1011,"PRINT_DIGITAL","Printing Only – Digital","Digital printing service only",False,False,False,True,False,False,"DIGITAL",True,False,True,True,False,True,False,"PRINTING","PRINTING",True,"2026-03-11 23:18:17.482513"
1012,"PRINT_SCREEN","Printing Only – Screen","Screen printing service",False,False,False,True,False,False,"SCREEN",True,False,True,True,False,True,False,"PRINTING","PRINTING",True,"2026-03-11 23:18:17.482513"
1013,"PRINT_FLEX","Printing Only – Flex","Flex printing service",False,False,False,True,False,False,"FLEX",True,False,True,True,False,True,False,"PRINTING","PRINTING",True,"2026-03-11 23:18:17.482513"
1014,"PRINT_UV","Printing Only – UV","UV printing service",False,False,False,True,False,False,"UV",True,False,True,True,False,True,False,"PRINTING","PRINTING",True,"2026-03-11 23:18:17.482513"
1015,"BINDING_ONLY","Binding Only","Binding service only",False,False,False,False,True,False,NULL,True,False,True,False,False,True,False,"BINDING","BINDING",True,"2026-03-11 23:18:17.482513"
1016,"FINISH_ONLY","Finishing Only","General finishing work",False,False,False,False,False,True,NULL,True,False,True,False,False,True,False,"FINISHING","FINISHING",True,"2026-03-11 23:18:17.482513"
1017,"LAMINATION","Lamination","Lamination process",False,False,False,False,False,True,NULL,True,False,True,False,False,True,False,"FINISHING","FINISHING",True,"2026-03-11 23:18:17.482513"
1018,"CUTTING","Cutting / Trimming","Paper cutting or trimming",False,False,False,False,False,True,NULL,True,False,True,False,False,True,False,"FINISHING","FINISHING",True,"2026-03-11 23:18:17.482513"
1019,"FOLDING","Folding","Paper folding service",False,False,False,False,False,True,NULL,True,False,True,False,False,True,False,"FINISHING","FINISHING",True,"2026-03-11 23:18:17.482513"
1020,"PACKAGING","Packaging","Final packaging work",False,False,False,False,False,True,NULL,True,False,True,False,False,True,False,"FINISHING","FINISHING",True,"2026-03-11 23:18:17.482513"
1021,"OUT_PRINT","Outsource Printing Job","Printing done by external vendor",False,False,False,True,False,False,"MULTI",False,False,False,True,True,True,True,"PURCHASE","RECEIPT",True,"2026-03-11 23:18:17.482513"
1022,"OUT_BIND","Outsource Binding Job","Binding done by vendor",False,False,False,False,True,False,NULL,False,False,False,True,True,True,False,"PURCHASE","RECEIPT",True,"2026-03-11 23:18:17.482513"
1023,"OUT_FINISH","Outsource Finishing Job","Finishing outsourced",False,False,False,False,False,True,NULL,False,False,False,True,True,True,False,"PURCHASE","RECEIPT",True,"2026-03-11 23:18:17.482513"
1024,"JOB_WORK","Job Work / Labour Job","Labour only job",False,False,False,False,False,False,NULL,True,False,True,False,False,True,False,"ENQUIRY","CLOSURE",True,"2026-03-11 23:18:17.482513"
