"menuid","menucode","menuname","parentmenuid","routeurl","icon","displayorder","ismobile","isweb","isactive","menulevel","issectionheader","sectionname","badgetext","badgeclass","hasdividerbefore","iconsvg","module_id"
1,"DASHBOARD","Dashboard",NULL,"/Dashboard","speedometer2",1,True,True,True,1,False,NULL,NULL,NULL,False,NULL,1
14,"MY_WORKSPACE","My Workspace",NULL,NULL,"kanban",2,True,True,True,1,False,NULL,NULL,NULL,False,NULL,14
2,"SALES_CRM","CRM",NULL,NULL,"diagram-3",3,True,True,True,1,False,NULL,NULL,NULL,False,NULL,2
15,"OUTSOURCE","Outsource",NULL,NULL,"box-arrow-up-right",4,True,True,True,1,False,NULL,NULL,NULL,False,NULL,7
5,"STORE","Store",NULL,NULL,"boxes",5,True,True,True,1,False,NULL,NULL,NULL,False,NULL,5
4,"PRODUCTION","Press/Production",NULL,NULL,"printer",6,True,True,True,1,False,NULL,NULL,NULL,False,NULL,4
8,"ACCOUNTS","Accounting",NULL,NULL,"calculator",7,True,True,True,1,False,NULL,NULL,NULL,False,NULL,8
13,"HRMS","HRMS",NULL,NULL,"people",8,True,True,True,1,False,NULL,NULL,NULL,False,NULL,13
10,"MAINTENANCE","Maintenance",NULL,NULL,"gear",9,True,True,True,1,False,NULL,NULL,NULL,False,NULL,10
12,"TOOLS","Tools",NULL,NULL,"tools",10,True,True,True,1,False,NULL,NULL,NULL,False,NULL,12
1401,"WS_HOME","Workspace Home",14,"/Workspace","house-door",1,True,True,True,2,False,NULL,NULL,NULL,False,NULL,14
1402,"WS_MY_TASKS","My Tasks",14,"/Workspace/MyTasks","list-task",2,True,True,True,2,False,NULL,NULL,NULL,False,NULL,14
1403,"WS_APPROVALS","Approvals",14,"/Workspace/Approvals","shield-check",3,True,True,True,2,False,NULL,NULL,NULL,True,NULL,14
1404,"WS_CALENDAR","Task Calendar",14,"/Workspace/Calendar","calendar3",4,True,True,True,2,False,NULL,NULL,NULL,False,NULL,14
1405,"WS_NOTIFICATIONS","Notifications",14,"/Workspace/Notifications","bell",5,True,True,True,2,False,NULL,NULL,NULL,False,NULL,14
1406,"WS_HISTORY","Activity History",14,"/Workspace/History","clock-history",6,True,True,True,2,False,NULL,NULL,NULL,False,NULL,14
201,"RATE_CALCULATOR","Calculator",2,"/RateCalculator","calculator",1,True,True,True,2,False,"Rate Calculator",NULL,NULL,False,NULL,2
202,"RATE_CALC_HISTORY","Calculation History",2,"/RateCalculator/List","clock-history",2,True,True,True,2,False,"Rate Calculator",NULL,NULL,False,NULL,2
203,"ENQUIRY_LIST","Enquiry List",2,"/Enquiry","clipboard-data",3,True,True,True,2,False,"Enquiry",NULL,NULL,True,NULL,2
204,"ENQUIRY_CREATE","New Enquiry",2,"/Enquiry/Create","plus-circle",4,True,True,True,2,False,"Enquiry",NULL,NULL,False,NULL,2
205,"QUOTATION_LIST","Quotation List",2,"/Quotation","file-earmark-text",5,True,True,True,2,False,"Quotation",NULL,NULL,True,NULL,2
206,"QUOTATION_CREATE","New Quotation",2,"/Quotation/Create","plus-circle",6,True,True,True,2,False,"Quotation",NULL,NULL,False,NULL,2
207,"JOB_LIST","Job List",2,"/Job","briefcase",7,True,True,True,2,False,"Job",NULL,NULL,True,NULL,2
208,"JOB_CREATE","New Job",2,"/Job/Create","plus-circle",8,True,True,True,2,False,"Job",NULL,NULL,False,NULL,2
209,"CHALLAN_LIST","Challan List",2,"/Challan","truck",9,True,True,True,2,False,"Challan",NULL,NULL,True,NULL,2
