"module_id","module_code","module_name","parent_module_id","route_url","icon","display_order","is_mobile","is_web","is_active","module_level","is_section_header","section_name","badge_text","badge_class","has_divider_before","icon_svg","created_by","created_on","modified_by","modified_on"
1,"DASHBOARD","Dashboard",NULL,"/","home",1,True,True,True,1,False,NULL,NULL,NULL,False,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round"" class=""icon""><path d=""M5 12l-2 0l9 -9l9 9l-2 0""/><path d=""M5 12v7a2 2 0 0 0 2 2h10a2 2 0 0 0 2 -2v-7""/><path d=""M9 21v-6a2 2 0 0 1 2 -2h2a2 2 0 0 1 2 2v6""/></svg>",NULL,"2026-03-22 20:49:21.199242",NULL,NULL
2,"SALES_CRM","Sales & CRM",NULL,NULL,"building-bank",2,True,True,True,1,False,NULL,NULL,NULL,False,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round"" class=""icon""><path d=""M3 21l18 0""/><path d=""M3 10h18""/><path d=""M5 6l7 -3l7 3""/><path d=""M4 10l0 11""/><path d=""M20 10l0 11""/><path d=""M8 14l0 3""/><path d=""M12 14l0 3""/><path d=""M16 14l0 3""/></svg>",NULL,"2026-03-22 20:49:21.199242",NULL,NULL
3,"PREPRESS","Pre-Press",NULL,NULL,"photo",3,True,True,True,1,False,NULL,NULL,NULL,False,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round"" class=""icon""><path d=""M15 8h.01""/><path d=""M3 6a3 3 0 0 1 3 -3h12a3 3 0 0 1 3 3v12a3 3 0 0 1 -3 3h-12a3 3 0 0 1 -3 -3v-12z""/><path d=""M3 16l5 -5c.928 -.893 2.072 -.893 3 0l5 5""/><path d=""M14 14l1 -1c.928 -.893 2.072 -.893 3 0l3 3""/></svg>",NULL,"2026-03-22 20:49:21.199242",NULL,NULL
4,"PRODUCTION","Production",NULL,NULL,"tools",4,True,True,True,1,False,NULL,NULL,NULL,False,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round"" class=""icon""><path d=""M3 21h4l13 -13a1.5 1.5 0 0 0 -4 -4l-13 13v4""/><path d=""M14.5 5.5l4 4""/><path d=""M12 8l-5 -5l-4 4l5 5""/><path d=""M7 8l-1.5 1.5""/><path d=""M16 12l5 5l-4 4l-5 -5""/><path d=""M16 17l1.5 -1.5""/></svg>",NULL,"2026-03-22 20:49:21.199242",NULL,NULL
5,"INVENTORY","Inventory",NULL,NULL,"package",5,True,True,True,1,False,NULL,NULL,NULL,False,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round"" class=""icon""><path d=""M12 3l8 4.5v9l-8 4.5l-8 -4.5v-9l8 -4.5""/><path d=""M12 12l8 -4.5""/><path d=""M12 12v9""/><path d=""M12 12l-8 -4.5""/></svg>",NULL,"2026-03-22 20:49:21.199242",NULL,NULL
6,"PURCHASE","Purchase",NULL,NULL,"shopping-cart",6,True,True,True,1,False,NULL,NULL,NULL,False,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round"" class=""icon""><path d=""M6 19m-2 0a2 2 0 1 0 4 0a2 2 0 1 0 -4 0""/><path d=""M17 19m-2 0a2 2 0 1 0 4 0a2 2 0 1 0 -4 0""/><path d=""M17 17h-11v-14h-2""/><path d=""M6 5l14 1l-1 7h-13""/></svg>",NULL,"2026-03-22 20:49:21.199242",NULL,NULL
7,"DISPATCH","Dispatch",NULL,NULL,"truck",7,True,True,True,1,False,NULL,NULL,NULL,False,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round"" class=""icon""><path d=""M7 17m-2 0a2 2 0 1 0 4 0a2 2 0 1 0 -4 0""/><path d=""M17 17m-2 0a2 2 0 1 0 4 0a2 2 0 1 0 -4 0""/><path d=""M5 17h-2v-11a1 1 0 0 1 1 -1h9v12m-4 0h6m4 0h2v-6h-8m0 -5h5l3 5""/></svg>",NULL,"2026-03-22 20:49:21.199242",NULL,NULL
8,"ACCOUNTS","Accounts",NULL,NULL,"wallet",8,True,True,True,1,False,NULL,NULL,NULL,False,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round"" class=""icon""><path d=""M17 8v-3a1 1 0 0 0 -1 -1h-10a2 2 0 0 0 0 4h12a1 1 0 0 1 1 1v3m0 4v3a1 1 0 0 1 -1 1h-12a2 2 0 0 1 -2 -2v-12""/><path d=""M20 12v4h-4a2 2 0 0 1 0 -4h4""/></svg>",NULL,"2026-03-22 20:49:21.199242",NULL,NULL
9,"REPORTS","Reports",NULL,NULL,"chart-bar",9,True,True,True,1,False,NULL,NULL,NULL,False,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round"" class=""icon""><path d=""M3 3v18h18""/><path d=""M20 18v3""/><path d=""M16 16v5""/><path d=""M12 13v8""/><path d=""M8 21v-6""/></svg>",NULL,"2026-03-22 20:49:21.199242",NULL,NULL
10,"MASTERS","Masters",NULL,NULL,"database",10,True,True,True,1,False,NULL,NULL,NULL,False,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round"" class=""icon""><path d=""M4 4h6v6h-6z""/><path d=""M14 4h6v6h-6z""/><path d=""M4 14h6v6h-6z""/><path d=""M14 14h6v6h-6z""/></svg>",NULL,"2026-03-22 20:49:21.199242",NULL,NULL
