"processid","processcode","processname","description","departmentid","sequenceno","ismandatory","isapprovalrequired","isclientapproval","templatecode","templatename","isactive","createdby","createdon","modifiedby","modifiedon"
1,"ADV_PAY","Advance Payment","Advance payment collection","1004",1,False,True,False,"P_ADV","Advance Payment",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
2,"ENQ_JOB","Enquiry Creation","Customer enquiry","1007",2,True,True,True,"P_ENQ_JOB","Enquiry Workflow",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
3,"ENQ_EST","Estimation / Costing","Job costing and estimation","1008",3,True,True,False,"P_EST","Estimation",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
4,"QUOT","Quotation Generation","Quotation creation","1008",4,True,True,True,"P_QUOT","Quotation",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
5,"QUOT_APPR","Quotation Approval","Quotation approval","1001",5,True,True,False,"P_QUOT_APPR","Quotation Approval",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
6,"JOB_CREATE","Job Creation","Internal job creation after quotation approval","1007",6,True,True,False,"P_JOB_CREATE","Job Creation",True,"SYSTEM","2026-04-15 08:30:36.941142",NULL,"2026-04-15 08:30:36.941142"
7,"JOB_APPROVAL","Approval of Job","Approval for new created jobs","9999",7,False,True,True,"P_PRE_DES","Job Approval",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
8,"DES_DTP","Designing / DTP","Layout and artwork","1009",8,True,True,False,"P_DESIGN","Design",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
9,"PROOF","Client Proof Approval","Client artwork approval","1009",9,True,True,True,"P_PROOF","Proof Approval",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
10,"PRE_PRESS","Plate Making","CTP plate preparation","1009",10,True,False,False,"P_PRE_PRESS","Pre Press",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
11,"PROC","Material Procurement","Material planning and purchase","1015",11,True,True,False,"P_PROC","Procurement",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
12,"GRN","Goods Receipt Note","Material receiving","1014",12,True,True,False,"P_GRN","Material Receipt",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
13,"QC_IN","Incoming QC","Raw material quality check","1016",13,True,True,False,"P_QC_IN","Incoming QC",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
14,"STORE_ISSUE","Material Issue","Material issue to production","1014",14,True,False,False,"P_STORE_ISSUE","Material Issue",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
15,"JOB_PLAN","Production Planning","Machine planning","1010",15,True,False,False,"P_PLAN","Planning",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
16,"JOB_SCHED","Job Scheduling","Production scheduling","1010",16,True,False,False,"P_SCHED","Scheduling",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
17,"JOB_CARD","Job Card Generation","Job card generation","1010",17,True,False,False,"P_JOB_CARD","Job Card",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
18,"CUT","Paper Cutting","Paper sheet preparation","1011",18,True,False,False,"P_CUT","Cutting",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
19,"PRINT","Printing","Printing operation","1010",19,True,False,False,"P_PRINT","Printing",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
20,"QC_PROC","In-Process QC","Production quality check","1016",20,True,False,False,"P_QC_PROC","Process QC",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
21,"DRY","Drying","Ink drying","1010",21,True,False,False,"P_DRY","Drying",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
22,"POST_PRESS","Post Press Finishing","Lamination and finishing","1011",22,True,False,False,"P_POST","Post Press",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
