"map_id","process_code","roleid","role_type","sequence_no","is_mandatory","is_active","createdat"
"1","ADV_PAY",37,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"2","ADV_PAY",5,"APPROVER",2,True,True,"2026-04-13 23:07:37.267293"
"3","ENQ_JOB",35,"INITIATOR",1,True,True,"2026-04-13 23:07:37.267293"
"4","ENQ_JOB",36,"EXECUTOR",2,True,True,"2026-04-13 23:07:37.267293"
"5","ENQ_JOB",4,"APPROVER",3,True,True,"2026-04-13 23:07:37.267293"
"6","ENQ_EST",35,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"7","ENQ_EST",4,"APPROVER",2,True,True,"2026-04-13 23:07:37.267293"
"8","QUOT",35,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"9","QUOT",4,"APPROVER",2,True,True,"2026-04-13 23:07:37.267293"
"10","QUOT_APPR",2,"APPROVER",1,True,True,"2026-04-13 23:07:37.267293"
"11","PRE_DES",14,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"12","DES_DTP",15,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"13","DES_DTP",7,"REVIEWER",2,True,True,"2026-04-13 23:07:37.267293"
"14","PROOF",33,"APPROVER",1,True,True,"2026-04-13 23:07:37.267293"
"15","PRE_PRESS",16,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"16","PROC",12,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"17","PROC",5,"APPROVER",2,True,True,"2026-04-13 23:07:37.267293"
"18","GRN",12,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"19","QC_IN",13,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"20","STORE_ISSUE",12,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"21","JOB_PLAN",3,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"22","JOB_SCHED",3,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"23","JOB_CARD",8,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"24","CUT",21,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"25","PRINT",17,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"26","PRINT",8,"REVIEWER",2,True,True,"2026-04-13 23:07:37.267293"
"27","QC_PROC",13,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"28","DRY",17,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"29","POST_PRESS",23,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"30","FOLD",22,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"31","BIND",20,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"32","TRIM",21,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"33","QC_POST",13,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"34","PACK",24,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"35","LOAD",39,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"36","CHALLAN",37,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"37","GATE_PASS",32,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"38","DISPATCH",28,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"39","DELIVERY_CONF",33,"APPROVER",1,True,True,"2026-04-13 23:07:37.267293"
"40","BILL",37,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"41","BILL",5,"APPROVER",2,True,True,"2026-04-13 23:07:37.267293"
"42","PAY_REC",37,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"43","CREDIT_NOTE",5,"APPROVER",1,True,True,"2026-04-13 23:07:37.267293"
"44","DEBIT_NOTE",5,"APPROVER",1,True,True,"2026-04-13 23:07:37.267293"
"45","COST_FINAL",4,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"46","PROFIT_ANALYSIS",5,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
"47","JOB_CLOSE",3,"APPROVER",1,True,True,"2026-04-13 23:07:37.267293"
"48","JOB_ARCHIVE",34,"EXECUTOR",1,True,True,"2026-04-13 23:07:37.267293"
