"roleid","rolecode","rolename","issystem","isactive","description","createdat","parent_roleid","role_category","role_type","dept_id","approval_level","can_approve","can_review","can_execute","is_default","is_editable","dashboard_code","is_workflow_role","security_level","createdby","modifiedby","modifiedat"
22,"FOLD_OPERATOR","Folding Machine Operator",False,True,"Folding Machine Operator","2025-12-18 22:55:05.44105",NULL,"EXECUTION","EXECUTOR","1011",1,False,False,True,False,True,"DB_FINISH",True,1,NULL,"SYSTEM","2026-04-13 22:47:43.257265"
23,"LAM_OPERATOR","Lamination Operator",False,True,"Lamination Machine Operator","2025-12-18 22:55:05.44105",NULL,"EXECUTION","EXECUTOR","1011",1,False,False,True,False,True,"DB_FINISH",True,1,NULL,"SYSTEM","2026-04-13 22:47:43.257265"
24,"PACK_OPERATOR","Packing Operator",False,True,"Packing Operator","2025-12-18 22:55:05.44105",NULL,"EXECUTION","EXECUTOR","1012",1,False,False,True,False,True,"DB_PACK",True,1,NULL,"SYSTEM","2026-04-13 22:47:43.257265"
25,"ELECTRICIAN","Electrician",False,True,"Electrical Maintenance Technician","2025-12-18 22:55:05.44105",NULL,"EXECUTION","EXECUTOR","1017",1,False,False,True,False,True,"DB_DEFAULT",True,1,NULL,"SYSTEM","2026-04-13 22:47:43.257265"
26,"MECHANIC","Mechanic",False,True,"Mechanical Maintenance Technician","2025-12-18 22:55:05.44105",NULL,"EXECUTION","EXECUTOR","1017",1,False,False,True,False,True,"DB_DEFAULT",True,1,NULL,"SYSTEM","2026-04-13 22:47:43.257265"
27,"COMPUTER_OP","Computer Operator",False,True,"ERP/IT Operator","2025-12-18 22:55:05.44105",NULL,"SYSTEM","EXECUTOR","1005",1,False,False,True,False,True,"DB_ADMIN",True,1,NULL,"SYSTEM","2026-04-13 22:47:43.257265"
28,"DRIVER","Driver",False,True,"Logistics/Delivery Driver","2025-12-18 22:55:05.44105",NULL,"EXECUTION","EXECUTOR","1013",1,False,False,True,False,True,"DB_DISPATCH",True,1,NULL,"SYSTEM","2026-04-13 22:47:43.257265"
29,"MACHINE_HELPER","Machine Helper",False,True,"Assistant to Machine Operators","2025-12-18 22:55:05.44105",NULL,"EXECUTION","EXECUTOR",NULL,1,False,False,True,False,True,"DB_DEFAULT",True,1,NULL,"SYSTEM","2026-04-13 22:47:43.257265"
30,"BINDER","Binder",False,True,"Manual Binding Staff","2025-12-18 22:55:05.44105",NULL,"EXECUTION","EXECUTOR",NULL,1,False,False,True,False,True,"DB_DEFAULT",True,1,NULL,"SYSTEM","2026-04-13 22:47:43.257265"
31,"PEON","Peon",False,True,"Office Assistant / Runner","2025-12-18 22:55:05.44105",NULL,"EXECUTION","EXECUTOR",NULL,1,False,False,True,False,True,"DB_DEFAULT",True,1,NULL,"SYSTEM","2026-04-13 22:47:43.257265"
32,"CHOWKIDAR","Chowkidar / Security",False,True,"Security and Gatepass Department","2025-12-18 22:55:05.44105",NULL,"EXECUTION","EXECUTOR","1018",1,False,False,True,False,True,"DB_DEFAULT",True,1,NULL,"SYSTEM","2026-04-13 22:47:43.257265"
33,"CLIENT_USER","Client / Customer User",False,True,"External Client for Approvals & Orders","2025-12-18 22:55:05.44105",NULL,"EXTERNAL","APPROVER",NULL,2,True,False,True,False,True,"DB_CLIENT",True,1,NULL,"SYSTEM","2026-04-13 22:47:43.257265"
34,"ADMIN","System Administrator",True,True,"IT & ERP System Admin – Full Access","2025-12-18 22:55:05.44105",NULL,"SYSTEM","ADMIN","1005",1,False,False,True,False,True,"DB_ADMIN",True,1,NULL,"SYSTEM","2026-04-13 22:47:43.257265"
35,"SALES_EXEC","Sales Executive",False,True,"Field Sales / Order Entry","2025-12-18 22:55:05.44105",NULL,"EXECUTION","EXECUTOR","1006",1,False,False,True,False,True,"DB_DEFAULT",True,1,NULL,"SYSTEM","2026-04-13 22:47:43.257265"
36,"ENQUIRY_EXEC","Enquiry Executive",False,True,"Handling New Customer Enquiries","2025-12-18 22:55:05.44105",NULL,"EXECUTION","EXECUTOR","1007",1,False,False,True,False,True,"DB_DEFAULT",True,1,NULL,"SYSTEM","2026-04-13 22:47:43.257265"
